timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2024/10/21 20:52:58.231,757,/,200,OK,10.190.0.7-Thread Group 1-1,text,true,,2321,453,1,1,https://blazedemo.com/,753,0,400
2024/10/21 20:52:58.113,881,/,200,OK,10.190.0.6-Thread Group 1-1,text,true,,2197,453,1,1,https://blazedemo.com/,877,0,483
2024/10/21 20:52:58.228,757,browse,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.7-Thread Group 1-1,,true,,2321,453,1,1,null,753,206,400
2024/10/21 20:52:59.192,358,/reserve.php,200,OK,10.190.0.7-Thread Group 1-1,text,true,,2362,643,2,2,https://blazedemo.com/reserve.php,354,0,0
2024/10/21 20:52:59.191,358,find_flights,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.7-Thread Group 1-1,,true,,2362,643,2,2,null,354,2,0
2024/10/21 20:52:59.551,0,Debug Sampler,200,OK,10.190.0.7-Thread Group 1-1,text,true,,5077,0,2,2,null,0,0,0
2024/10/21 20:52:59.227,810,/,200,OK,10.190.0.7-Thread Group 1-2,text,true,,2186,453,2,2,https://blazedemo.com/,806,0,402
2024/10/21 20:52:59.226,810,browse,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.7-Thread Group 1-2,,true,,2186,453,2,2,null,806,7,402
2024/10/21 20:53:00.044,386,/reserve.php,200,OK,10.190.0.7-Thread Group 1-2,text,true,,2494,645,3,3,https://blazedemo.com/reserve.php,382,0,0
2024/10/21 20:53:00.043,386,find_flights,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.7-Thread Group 1-2,,true,,2494,645,3,3,null,382,2,0
2024/10/21 20:53:00.431,0,Debug Sampler,200,OK,10.190.0.7-Thread Group 1-2,text,true,,5080,0,3,3,null,0,0,0
2024/10/21 20:53:00.226,511,/,200,OK,10.190.0.7-Thread Group 1-3,text,true,,2388,453,3,3,https://blazedemo.com/,508,0,80
2024/10/21 20:53:00.224,511,browse,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.7-Thread Group 1-3,,true,,2388,453,3,3,null,508,12,80
2024/10/21 20:53:00.747,355,/reserve.php,200,OK,10.190.0.7-Thread Group 1-3,text,true,,2365,642,3,3,https://blazedemo.com/reserve.php,351,0,0
2024/10/21 20:53:00.747,355,find_flights,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.7-Thread Group 1-3,,true,,2365,642,3,3,null,351,1,0
2024/10/21 20:53:01.103,1,Debug Sampler,200,OK,10.190.0.7-Thread Group 1-3,text,true,,5077,0,3,3,null,0,0,0
2024/10/21 20:52:58.108,881,browse,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.6-Thread Group 1-1,,true,,2197,453,1,1,null,877,247,483
2024/10/21 20:52:59.237,394,/reserve.php,200,OK,10.190.0.6-Thread Group 1-1,text,true,,2253,639,2,2,https://blazedemo.com/reserve.php,389,0,0
2024/10/21 20:52:59.236,394,find_flights,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.6-Thread Group 1-1,,true,,2253,639,2,2,null,389,1,0
2024/10/21 20:52:59.630,0,Debug Sampler,200,OK,10.190.0.6-Thread Group 1-1,text,true,,5074,0,2,2,null,0,0,0
2024/10/21 20:52:59.121,529,/,200,OK,10.190.0.6-Thread Group 1-2,text,true,,2264,453,2,2,https://blazedemo.com/,526,0,92
2024/10/21 20:52:59.117,529,browse,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.6-Thread Group 1-2,,true,,2264,453,2,2,null,526,10,92
2024/10/21 20:52:59.656,385,/reserve.php,200,OK,10.190.0.6-Thread Group 1-2,text,true,,2444,642,2,2,https://blazedemo.com/reserve.php,382,0,0
2024/10/21 20:52:59.655,385,find_flights,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.6-Thread Group 1-2,,true,,2444,642,2,2,null,382,2,0
2024/10/21 20:53:00.042,0,Debug Sampler,200,OK,10.190.0.6-Thread Group 1-2,text,true,,5077,0,2,2,null,0,0,0
2024/10/21 20:53:00.099,768,/,200,OK,10.190.0.6-Thread Group 1-3,text,true,,2328,453,3,3,https://blazedemo.com/,764,0,391
2024/10/21 20:53:00.098,768,browse,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.6-Thread Group 1-3,,true,,2328,453,3,3,null,764,8,391
2024/10/21 20:53:00.875,380,/reserve.php,200,OK,10.190.0.6-Thread Group 1-3,text,true,,2450,648,3,3,https://blazedemo.com/reserve.php,376,0,0
2024/10/21 20:53:00.874,380,find_flights,200,"Number of samples in transaction : 1, number of failing samples : 0",10.190.0.6-Thread Group 1-3,,true,,2450,648,3,3,null,376,1,0
2024/10/21 20:53:01.255,1,Debug Sampler,200,OK,10.190.0.6-Thread Group 1-3,text,true,,5079,0,3,3,null,0,0,0
